text,label,language
"Scientists discover a new planet made of diamonds in the Andromeda galaxy.","Real","English"
"Drinking bleach cures COVID-19 within 24 hours according to doctors.","Fake","English"
"The government is considering a new tax on social media usage.","Suspicious","English"
"India wins the ICC World Cup after a thrilling final match.","Real","English"
"NASA confirms that the moon landing was filmed in a studio.","Fake","English"
"Apple launches its first foldable iPhone with satellite connectivity.","Real","English"
"Scientists find that eating chocolate before bed helps in weight loss.","Fake","English"
"The local council plans to renovate the main park next month.","Real","English"
"கொரோனா வைரஸை குணப்படுத்த இஞ்சி மற்றும் எலுமிச்சை சாறு போதுமானது.","Fake","Tamil"
"தமிழகத்தில் நாளை முதல் பொது விடுமுறை அளிக்கப்படும் என்று அரசு அறிவித்துள்ளது.","Suspicious","Tamil"
"சென்னை மெரினா கடற்கரையில் புதிய நவீன பூங்கா திறக்கப்பட்டது.","Real","Tamil"
"விண்வெளியில் புதிய கோள் ஒன்றை இந்திய விஞ்ஞானிகள் கண்டுபிடித்துள்ளனர்.","Real","Tamil"
"வாட்ஸ்அப்பில் பகிரப்படும் செய்திகள் அனைத்தும் உண்மையானவை அல்ல.","Real","Tamil"
"தங்கம் விலை சவரனுக்கு 500 ரூபாய் குறைந்துள்ளது.","Real","Tamil"
"சர்க்கரை நோயை 10 நாட்களில் குணப்படுத்த இந்த மூலிகை போதும்.","Fake","Tamil"
"வேற்று கிரக வாசிகள் பூமியை நோக்கி வருவதாக நாசா எச்சரிக்கை.","Fake","Tamil"
"தடுப்பூசி போட்டுக்கொண்டால் உடலில் காந்த சக்தி உருவாகும்.","Fake","Tamil"
"அரசு ஊழியர்களுக்கு சம்பள உயர்வு குறித்த பேச்சுவார்த்தை நடந்து வருகிறது.","Suspicious","Tamil"
